name,maker,model,year,location,price,mileage,date,image_url,listing_url
Toyota Corolla DX Wagon Ke72,Toyota,Corolla DX Wagon Ke72,1986,Kurunegala,695000,111100,2025-02-22,https://riyasewana.com/thumb/thumbtoyota-corolla-dx-1986-2221430812161.jpg,https://riyasewana.com/cars/car/toyota-corolla-dx-wagon-ke72-1986-2221430812161
Mitsubishi Lancer-Flat Light,Mitsubishi,Lancer-Flat Light,1979,Matale,740000,200000,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-lancer-flat-light-1979-2221245312261.jpg,https://riyasewana.com/cars/car/mitsubishi-lancer-flat-light-1979-2221245312261
Mitsubishi Lancer Wagon GL,Mitsubishi,Lancer Wagon GL,1984,Kandy,375000,1000,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-lancer-wagon-221956324881.jpg,https://riyasewana.com/cars/car/mitsubishi-lancer-wagon-gl-1984-221956324881
Mitsubishi Mirage,Mitsubishi,Mirage,1986,Kandy,780000,1000,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-mirage-221937504771.jpg,https://riyasewana.com/cars/car/mitsubishi-mirage-1986-221937504771
Nissan B11,Nissan,B11,1983,Panadura,395000,200000,2025-02-22,https://riyasewana.com/thumb/thumbnissan-b11-1983-2219292812451.jpg,https://riyasewana.com/cars/nissan-b11-1983-panadura-395000-200000-km
Mitsubishi Lancer Plat Light,Mitsubishi,Lancer Plat Light,1979,Kalutara,795000,200000,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-lancer-plat-221740494771.jpg,https://riyasewana.com/cars/mitsubishi-lancer-plat-light-1979-kalutara-795000-200000-km
Mitsubishi Lancer C12 GLX 1985,Mitsubishi,Lancer,1985,Gampaha,675000,58424,2025-02-2,https://riyasewana.com/thumb/thumbmitsubishi-lancer-c12-221336534841.jpg,https://riyasewana.com/cars/mitsubishi-lancer-c12-glx-1985-gampaha-rs-675000-58424-km-2025-02-2
Daihatsu Mira,Daihatsu,Mira,2016,Piliyandala,81100,121000,2025-02-14,https://riyasewana.com/thumb/thumbdaihatsu-mira-14121215241.jpg,https://riyasewana.com/cars/daihatsu-mira-2016-piliyandala-81100-km-2025-02-14
Toyota Premio,Toyota,Premio,2017,Kottawa,110000,110000,2025-02-20,https://riyasewana.com/thumb/thumbtoyota-premio-2017-1216300112061.jpg,https://riyasewana.com/cars/toyota-premio-2017-kottawa-110000-km-2025-02-20
Toyota Axio Wxb,Toyota,Axio Wxb,2018,Katunayake,14150000,145000,2025-02-20,https://riyasewana.com/thumb/thumbtoyota-axio-hybrid-2018-1418142812571.jpg,https://riyasewana.com/cars/toyota-axio-wxb-hybrid-2018-katunayake-14150000-145000-km-2025-02-20
Ford Fiesta,Ford,Fiesta,2017,Dehiwala-Mount-Lavinia,8000000,68000,2025-02-21,https://riyasewana.com/thumb/thumbford-fiesta-13173001551.jpg,https://riyasewana.com/cars/ford-fiesta-2017-dehiwala-mount-lavinia-8000000-68000-km-2025-02-21
Isuzu JT600,Isuzu,JT600,1989,Kegalle,850000,300000,1989,https://riyasewana.com/thumb/thumbisuzu-jt-00-1989-2217570212341.jpg,https://riyasewana.com/cars/isuzu-jt600-1989-kegalle-850000-300000-km-1989
Isuzu JT600,Isuzu,JT600,1989,Kegalle,850000,300000,1989,https://riyasewana.com/thumb/thumbisuzu-jt-00-1989-221757022341.jpg,https://riyasewana.com/cars/isuzu-jt600-1989-kegalle-850000-300000-km-1989
Nissan B11,Nissan,B11,1989,Kurunegala,590000,165,2025-02-22,https://riyasewana.com/thumb/thumbnissan-b11-1989-229591012073.jpg,https://riyasewana.com/cars/nissan-b11-1989-kurunegala-590000-165-km-2025-02-22
Mitsubishi Lancer Box,Mitsubishi,Lancer Box,1981,Colombo,895000,1234,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-lancer-box-15112418271.jpg,https://riyasewana.com/cars/mitsubishi-lancer-box-1981-colombo-895000-1234-km-2025-02-22
Nissan B11 Longoing Buffer,Nissan,B11 Longoing Buffer,1985,Gampaha,885000,257800,2025-02-22,https://riyasewana.com/thumb/thumbnissan-b-11-1985-229450012201.jpg,https://riyasewana.com/cars/nissan-b11-longoing-buffer-1985-gampaha-885000-257800-km-2025-02-22
Toyota Tercel,Toyota,Tercel,1987,Gampaha,985000,257800,2025-02-22,https://riyasewana.com/thumb/thumbtoyota-tersel-1987-229345812441.jpg,https://riyasewana.com/cars/toyota-tercel-1987-gampaha-985000-257800-km-2025-02-22
Toyota COROLLA DX,Toyota,COROLLA DX,1983,Kandy,775000,300000,2025-02-22,https://riyasewana.com/thumb/thumbtoyota-corolla-dx-1983-229333312581.jpg,https://riyasewana.com/cars/toyota-corolla-dx-1983-kandy-775000-300000-km-2025-02-22
Toyota Carina AT150 1985 Car,Toyota,Carina AT150,1985,Kurunegala,590000,2025,2025-02-22,https://riyasewana.com/thumb/thumbtoyota-carina-at150-221130134531.jpg,https://riyasewana.com/cars/toyota-carina-at150-1985-car-kurunegala-590000-2025-km-2025-02-22
Toyota KE55 1977 Car,Toyota,KE55,1977,Pannipitiya,550000,11111,2025-02-22,https://riyasewana.com/thumb/thumbtoyota-ke55-2292713751.jpg,https://riyasewana.com/cars/toyota-ke55-1977-pannipitiya-rs-550000-11111-km-2025-02-22
Nissan Bluebird 1985 Car,Nissan,Bluebird,1985,Minuwangoda,675000,44555,2025-02-22,https://riyasewana.com/thumb/thumbnissan-blubird-2296354341.jpg,https://riyasewana.com/cars/nissan-bluebird-1985-minuwangoda-rs-675000-44555-km-2025-02-22
Mitsubishi Galant 1971 Car,Mitsubishi,Galant,1971,Negombo,850000,123,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-10-light-228284317491.jpg,https://riyasewana.com/cars/mitsubishi-galant-1971-negombo-rs-850000-123-km-2025-02-22
Daihatsu Charade 1985 Car,Daihatsu,Charade,1985,Dompe,565000,350000,2025-02-22,https://riyasewana.com/thumb/thumbdaihatsu-daihatsu-charade-1985-228170312691.jpg,https://riyasewana.com/cars/daihatsu-charade-1985-dompe-rs-565000-350000-km-2025-02-22
Mitsubishi Colt 1980,Mitsubishi,Colt,1980,Minuwangoda,900000,2025,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-colt-22811504681.jpg,https://riyasewana.com/cars/mitsubishi-colt-1980-minuwangoda-rs-900000-2025-02-22
Honda Fit 2012,Honda,Fit,2012,Dehiwala-Mount-Lavinia,6690000,125000,2025-02-20,https://riyasewana.com/thumb/thumbhonda-gp4-2012-2011314112231.jpg,https://riyasewana.com/cars/cars-for-sale/dehiwala-mount-lavinia/honda-fit-2012-125000-km-2025-02-20-6690000-rs-promoted-top-ad-1.html
Toyota Premio 2017,Toyota,Premio,2017,Kottawa,,110000,2025-02-20,https://riyasewana.com/thumb/thumbtoyota-premio-2017-1216300112061.jpg,https://riyasewana.com/cars/cars-for-sale/kottawa/toyota-premio-2017-110000-km-2025-02-20-negotiable.html
Honda INSIGHT 2019,Honda,INSIGHT,2019,Kurunegala,,67000,2025-02-22,https://riyasewana.com/thumb/thumbhonda-insight-2020-2019-1919363012601.jpg,https://riyasewana.com/cars/cars-for-sale/kurunegala/honda-insight-2019-67000-km-2025-02-22-negotiable.html
Toyota Vitz KSP90 2007,Toyota,Vitz,2007,Kottawa,4990000,178000,2025-02-22,https://riyasewana.com/thumb/thumbtoyota-vitz-ksp-2007-511062612821.jpg,https://riyasewana.com/cars/cars-for-sale/kottawa/toyota-vitz-ksp-2007-178000-km-2025-02-22-rs-4990000.html
Hillman Minx,Hillman,Minx,1956,Kadawatha,930000,20254894,2025-02-21,https://riyasewana.com/thumb/thumbhillman-minx-1956-2120304212741.jpg,https://riyasewana.com/cars/cars-details/cars-details-2120304212741
Mitsubishi Lancer,Mitsubishi,Lancer,1978,Ratnapura,690000,20250221,2025-02-21,https://riyasewana.com/thumb/thumbmubishi-tiub-laiet-212009004131.jpg,https://riyasewana.com/cars/cars-details/cars-details-212009004131
Mitsubishi Galant,Mitsubishi,Galant,1985,Dompe,575000,100000,2025-02-21,https://riyasewana.com/thumb/thumbmitsubishi-ngalant-211949114671.jpg,https://riyasewana.com/cars/cars-details/cars-details-211949114671
Toyota Corona,Toyota,Corona,1983,Kuliyapitiya,475000,100000,2025-02-21,https://riyasewana.com/thumb/thumbtoyota-corona-1983-211949031271142.jpg,https://riyasewana.com/cars/cars-details/cars-details-211949031271142
Toyota AA60,Toyota,AA60,1986,Horana,625000,12345,2025-02-21,https://riyasewana.com/thumb/thumbtoyota-aa60-21194043581.jpg,https://riyasewana.com/cars/cars-details/cars-details-21194043581
Nissan B211,Nissan,B211,1980,Gampaha,635000,2,2025-02-21,https://riyasewana.com/thumb/thumbnissan-b211-212242022861.jpg,https://riyasewana.com/cars/nissan-b211-1980-gampaha-rs-635000-2-km-2025-02-21
Mitsubishi Lancer Wagon,Mitsubishi,Lancer Wagon,1984,Kotte,695000,12100,2025-02-21,https://riyasewana.com/thumb/thumbmitsubishi-lancer-wagon-1984-2122325212071.jpg,https://riyasewana.com/cars/mitsubishi-lancer-wagon-1984-kotte-rs-695000-12100-km-2025-02-21
Nissan B211,Nissan,B211,1980,Kandy,445000,1000,2025-02-21,https://riyasewana.com/thumb/thumbnissan-b211-212211004931.jpg,https://riyasewana.com/cars/nissan-b211-1980-kandy-rs-445000-1000-km-2025-02-21
Mitsubishi Lancer Box,Mitsubishi,Lancer Box,1981,Welimada,690000,234220,2025-02-21,https://riyasewana.com/thumb/thumbmitsubishi-lancer-box-1981-2120541312291.jpg,https://riyasewana.com/cars/mitsubishi-lancer-box-1981-welimada-rs-690000-234220-km-2025-02-21
Nissan AD Wagon,Nissan,AD Wagon,1986,Kandy,535000,123456,2025-02-21,https://riyasewana.com/thumb/thumbnissan-ad-wagon-2120370622421.jpg,https://riyasewana.com/cars/nissan-ad-wagon-1986-kandy-rs-535000-123456-km-2025-02-21
Mitsubishi Lancer 1980,Mitsubishi,Lancer,1980,Colombo,490000,125000,2025-02-21,https://riyasewana.com/thumb/thumbmitsubishi-lancer-2123145822591.jpg,https://riyasewana.com/cars/mitsubishi-lancer-1980-colombo-rs-490000-125000-2025-02-21
Nissan March 1990,Nissan,March,1990,Minuwangoda,675000,37888,2025-02-21,https://riyasewana.com/thumb/thumbnissan-march-212252544601.jpg,https://riyasewana.com/cars/nissan-march-1990-minuwangoda-rs-675000-37888-2025-02-21
Toyota Corona,Toyota,Corona,1987,Gampaha,990000,68000,2025-02-21,https://riyasewana.com/thumb/thumbno_100.jpg,https://riyasewana.com/cars/toyota/corona/1987/gampaha/990000/68000/2025-02-21
Mitsubishi Lancer Box,Mitsubishi,Lancer Box,1981,Negombo,820000,123456,2025-02-21,https://riyasewana.com/thumb/thumbmitsubishi-lancer-box-2110383222821.jpg,https://riyasewana.com/cars/mitsubishi/lancer-box/1981/negombo/820000/123456/2025-02-21
Mitsubishi Lancer 1981,Mitsubishi,Lancer,1981,Colombo,890000,213000,2025-02-21,https://riyasewana.com/thumb/thumbmitsubishi-lancer-41011148846.jpg,https://riyasewana.com/cars/mitsubishi-lancer-1981-colombo-890000-213000-2025-02-21
Mitsubishi Lancer Box 1985,Mitsubishi,Lancer Box,1985,Homagama,975000,10,2025-02-21,https://riyasewana.com/thumb/thumbmitsubishi-lancer-box-1985-2114442112381.jpg,https://riyasewana.com/cars/mitsubishi-lancer-box-1985-homagama-975000-10-2025-02-21
Mazda MR 90,Mazda,MR 90,1992,Hanwella,795000,123456,2025-02-20,"https://riyasewana.com/thumb/thumbmazda-
mr90-2017382822661.jpg",https://riyasewana.com/cars/mazda-mr-90-1992-hanwella-rs-795000-123456-km-2025-02-20
Mitsubishi Lancer,Mitsubishi,Lancer,1977,Matugama,550000,2025,02-20,"https://riyasewana.com/thumb/thumbmitsubishi-
lancer-201722194311.jpg",https://riyasewana.com/cars/mitsubishi-lancer-1977-matugama-rs-550000-2025-02-20
Daihatsu Charade G30 1988,Daihatsu,Charade,1988,Kandy,675000,0,2025-02-20,https://riyasewana.com/thumb/thumbdaihu-charade-g30-201249334511.jpg,https://riyasewana.com/cars/daihatsu-charade-g30-1988-kandy-rs-675000-0-km-2025-02-20
Micro Privilege Econo 2004 Car,Micro Privilege,Econo,2004,Colombo,690000,55000,2025-02-20,https://riyasewana.com/thumb/thumbmicro-priviage-econo-20104953991.jpg,https://riyasewana.com/cars/micro-priviage-econo-2004-car-colombo-rs-690000-55000-km-2025-02-20
Toyota Corona 1987 Car,Toyota,Corona,1987,Chilaw,990000,180000,2025-02-20,https://riyasewana.com/thumb/thumbtoyota-corona-20101227501.jpg,https://riyasewana.com/cars/toyota-corona-1987-car-chilaw-rs-990000-180000-km-2025-02-20
Mitsubishi Lancer 1980 Car,Mitsubishi,Lancer,1980,Galle,975000,231,2025-02-20,https://riyasewana.com/thumb/thumbmitsubishi-lancer-209522622311.jpg,https://riyasewana.com/cars/mitsubishi-lancer-1980-car-galle-rs-975000-231-km-2025-02-20
Mitsubishi Lancer Wagon 1980 Car,Mitsubishi,Lancer Wagon,1980,Matale,675000,1,2025-02-20,https://riyasewana.com/thumb/thumbmitsubishi-lancer-wagon-1980-209413312231.jpg,https://riyasewana.com/cars/mitsubishi-lancer-wagon-1980-car-matale-rs-675000-1-km-2025-02-20
Honda Civic 1987 Car,Honda,Civic,1987,,,,,https://riyasewana.com/thumb/thumbhonda-civic-209154622651.jpg,https://riyasewana.com/cars/honda-civic-1987-car-rs-null-null-km-null
Nissan Sunny 1992,Nissan,Sunny,1992,Gampola,475000,122281,2025-02-20,https://riyasewana.com/thumb/thumbnissan-sunny-1992-206021612381.jpg,https://riyasewana.com/cars/nissan-sunny-1992-206021612381
Nissan Bluebird 1984,Nissan,Bluebird,1984,Kandy,995000,12345,2025-02-20,https://riyasewana.com/thumb/thumbnissan-nissan-2050917661.jpg,https://riyasewana.com/cars/nissan-bluebird-1984-2050917661
Mitsubishi Lancer Wagon 1982,Mitsubishi,Lancer Wagon,1982,Colombo,725000,100,2025-02-19,https://riyasewana.com/thumb/thumbmitsubishi-lancer-wagon-1982-1921193012871.jpg,https://riyasewana.com/cars/mitsubishi-lancer-wagon-1982-1921193012871
Nissan B310 1983,Nissan,B310,1983,Gampaha,600000,120000,2025-02-19,https://riyasewana.com/thumb/thumbnissan-b310-wagon-192115354871.jpg,https://riyasewana.com/cars/nissan-b310-1983-192115354871
Mitsubishi Lancer Box 1980 Car,Mitsubishi,Lancer Box,1980,Kalutara,830000,6540864,2025-02-19,https://riyasewana.com/thumb/thumbmitsubishi-lancer-box-192047134151.jpg,https://riyasewana.com/cars/mitsubishi-lancer-box-1980-car-192047134151
Mitsubishi Lancer Fiore 1986 Car,Mitsubishi,Lancer Fiore,1986,Kurunegala,500000,11111,2025-02-19,https://riyasewana.com/thumb/thumbmitsubishi-lancer-feori-192044024811.jpg,https://riyasewana.com/cars/mitsubishi-lancer-fiore-1986-car-192044024811
Chery QQ 2007 Car,Chery,QQ,2007,Kottawa,790000,80000,2025-02-19,https://riyasewana.com/thumb/thumbchery-qq-191909532253.jpg,https://riyasewana.com/cars/chery-qq-2007-car-191909532253
Mitsubishi Lancer L Light 1979 Car,Mitsubishi,Lancer L Light,1979,Kandy,380000,56,2025-02-19,https://riyasewana.com/thumb/thumbmitsubishi-lanser-l-191841234481.jpg,https://riyasewana.com/cars/mitsubishi-lancer-l-light-1979-191841234481
